arret,x,y
CHAMP DE MARS,2.2961370503839977,48.854761329973954
RAPP-LA BOURDONNAIS,2.2997989163753005,48.857270033016306
CHAMP DE MARS-LA BOURDONNAIS,2.3027690386896436,48.85591382739635
ECOLE MILITAIRE,2.3060934112789617,48.85406332969889
DUQUESNE-LOWENDAL,2.3086819205162024,48.852581048279085
EL SALVADOR,2.311161404900008,48.85095488543697
SAINT FRANCOIS XAVIER,2.313789989169358,48.85053302091352
OUDINOT,2.3151116173405333,48.849050339269986
DUROC,2.316065619772318,48.84725301385128
VANEAU-SAINT ROMAIN,2.320790535084474,48.84853897273468
BAC-SAINT PLACIDE,2.322506153191007,48.84941098392912
SEVRES-BABYLONE,2.3261554919479193,48.85101115125989
MICHEL DEBRE,2.330486064799691,48.85217984707582
BONAPARTE-SAINT GERMAIN,2.333264293968394,48.85262934569981
SEINE-BUCI,2.337404487852878,48.852728274471744
SAINT GERMAIN-ODEON,2.3395562807520243,48.852224954368175
CLUNY,2.3437371697072513,48.85119124123926
DANTE,2.3458888358909404,48.850678818624274
MAUBERT-MUTUALITE,2.3475365979506932,48.8502652637722
SAINT GERMAIN-CARDINAL LEMOINE,2.353678234093139,48.84938380182115
PORTE DE REUILLY.,2.4000297654891334,48.83412551478268
PONT SULLY-QUAI DE BETHUNE,2.3593301067605057,48.85012884932998
SULLY-MORLAND,2.3629395259095314,48.85122459770485
LA CERISAIE,2.366385644603279,48.852275338485136
BASTILLE,2.3686739081991304,48.85273311743253
LYON-LEDRU ROLLIN,2.3707823215272694,48.848796027911355
GARE DE LYON-DIDEROT,2.371938149064597,48.846243246895625
GARE DE LYON VAN GOGH,2.3715151733033437,48.844976129886
GARE DE LYON,2.374073889589784,48.843159886134366
MINISTERE DE L'ECONOMIE ET DES FINANCES,2.378170761741221,48.84098356420492
GARE DE BERCY,2.381587578647902,48.840047635714974
DUGOMMIER,2.38844849882023,48.838606873832966
CHARENTON-WATTIGNIES,2.390557339741404,48.837105024021994
NICOLAI,2.392897024605925,48.835153647854234
CHARENTON-JARDINIERS,2.395100714571609,48.833489892054814
PORTE DE CHARENTON,2.3976860509543614,48.8323471816441
WATTIGNIES-GRAVELLE,2.3973630174923355,48.83553794325218
NICOLAI,2.3943550386617445,48.836303368652814
CHARENTON-WATTIGNIES,2.3907893971904994,48.83768911225922
DUGOMMIER,2.388816462279329,48.83895723006797
PORTE DE REUILLY,2.4003431761445095,48.83435902667203
GARE DE BERCY,2.3813016936179348,48.84010166714338
MINISTERE DE L'ECONOMIE ET DES FINANCES,2.3785109830306754,48.84075875809279
GARE DE LYON,2.374142208901633,48.84349240362083
GARE DE LYON-DIDEROT,2.373544685509652,48.845793392594445
LYON-LEDRU ROLLIN,2.372116896482449,48.84880463219247
BASTILLE,2.3695042587891058,48.85206782311893
BASTILLE-RUE SAINT ANTOINE,2.3682928051154004,48.85311967816272
LA CERISAIE,2.3664809925446977,48.85230227751984
SULLY-MORLAND,2.3628578004698153,48.851197652884494
PONT SULLY-QUAI DE BETHUNE,2.359180285354851,48.85008393960496
INSTITUT DU MONDE ARABE,2.3554756793411715,48.84893416598814
MONGE-MUTUALITE,2.349701437664417,48.84821591020412
COLLEGE DE FRANCE,2.345970302476067,48.849222840690786
CLUNY,2.343410175223076,48.84995997425821
SAINT GERMAIN-ODEON,2.3400601479168275,48.85159582085752
EGLISE SAINT SULPICE,2.334067905030506,48.85121833757431
MICHEL DEBRE,2.330608684763051,48.851793392915
SEVRES-BABYLONE,2.3275989399048265,48.85169432482769
BAC-BABYLONE,2.3237584418894874,48.85166698919774
CHAMP DE MARS.,2.297048833149049,48.85570532285804
CENTRE BUS CROIX NIVERT ENTREE,2.293070348199669,48.84145873755396
CHAMP DE MARS#,2.295537982460273,48.8545184605607
CENTRE BUS CROIX NIVERT SORTIE,2.2938202883606467,48.84020075659474
VANEAU-BABYLONE,2.3186513836419933,48.85168427599088
SAINT FRANCOIS XAVIER,2.3151376925557514,48.851773550066746
BRETEUIL,2.310997708537539,48.851494097819796
DUQUESNE-LOWENDAL,2.308627429458965,48.852607997583206
ECOLE MILITAIRE,2.3060388199616124,48.85425205188525
CHAMP DE MARS-LA BOURDONNAIS,2.3019923733627765,48.856398921612616
RAPP-LA BOURDONNAIS,2.2997850623587683,48.85759357606318
SAINT GERMAIN-ODEON.,2.341639937792039,48.851721597711474
SAINT GERMAIN-ODEON.,2.3392294200895964,48.85207217332853
PORTE DE REUILLY#,2.4002750393564147,48.834305137172755
GARE DE LYON#,2.374196662732196,48.84347441168067
CHAMP DE MARS#,2.29552435567756,48.85452744323673
SAINT GERMAIN-ODEON#,2.3394473298988867,48.852242931354866
CHARENTON-WATTIGNIES#,2.388939010427669,48.83896616449846
BASTILLE#,2.368292810493841,48.853128665620346
GARE DE LYON#,2.3744005650058484,48.84298902155892
CHAMP DE MARS#,2.2960009257086087,48.85467140842706
BASTILLE #,2.3683470663441084,48.852760165594155
BASTILLE #,2.3681973528543105,48.852921978885036
GARE DE LYON.,2.3739377683722283,48.843222840867476
CHAMP DE MARS.,2.2954834753010993,48.85455439125515
BASTILLE.,2.3693275130789653,48.85255319395875
GARE DE LYON.,2.3741149883583064,48.84351038710876
VANEAU#,2.3207224537585707,48.84851200082834
PORTE DE REUILLY#,2.4001524022105047,48.834215326044124
