timestamp,x,x1,y,y1,Arret,Arret suivant,Arret precedent,Délai réel,Prédiction RATP,Prédiction IA,bus_id,code_iti,geometry
2017-05-01 13:18:04,2.369123222004605,2.369123222004605,48.85254426133596,48.85254426133596,BASTILLE,LYON-LEDRU ROLLIN,BASTILLE,139 s,41 s,60 s,B3001,ITI:55,"LINESTRING (2.369123222004605 48.85254426133596, 2.369123222004605 48.85254426133596)"
2017-05-01 13:18:42,2.369123222004605,2.3698985792798,48.85254426133596,48.85107010647078, ,LYON-LEDRU ROLLIN,BASTILLE,101 s,1218 s,60 s,B3001,ITI:55,"LINESTRING (2.369123222004605 48.85254426133596, 2.369354445223992 48.85205887612548, 2.3698985792798 48.85107010647078)"
2017-05-01 13:19:42,2.3698985792798,2.3709727463796355,48.85107010647078,48.84844546196179, ,LYON-LEDRU ROLLIN,BASTILLE,41 s,41 s,42 s,B3001,ITI:55,"LINESTRING (2.3698985792798 48.85107010647078, 2.370456103872005 48.84975778043117, 2.370659973236094 48.8491285994034, 2.370972746379636 48.84844546196179)"
2017-05-01 13:20:23,2.3709727463796355,2.3709727463796355,48.84844546196179,48.84844546196179,LYON-LEDRU ROLLIN,GARE DE LYON-DIDEROT,BASTILLE,56 s,33 s,61 s,B3001,ITI:55,"LINESTRING (2.370972746379636 48.84844546196179, 2.370972746379636 48.84844546196179)"
2017-05-01 13:20:42,2.3709727463796355,2.3721966310668234,48.84844546196179,48.845874683394754, ,GARE DE LYON-DIDEROT,LYON-LEDRU ROLLIN,37 s,18 s,61 s,B3001,ITI:55,"LINESTRING (2.370972746379636 48.84844546196179, 2.371217540083423 48.84794209267659, 2.3715030753048 48.84727693595099, 2.37188384754169 48.84649491293288, 2.372196631066823 48.84587468339475)"
2017-05-01 13:21:19,2.3721966310668234,2.3721966310668234,48.845874683394754,48.845874683394754,GARE DE LYON-DIDEROT,GARE DE LYON VAN GOGH,LYON-LEDRU ROLLIN,81 s,0 s,47 s,B3001,ITI:55,"LINESTRING (2.372196631066823 48.84587468339475, 2.372196631066823 48.84587468339475)"
2017-05-01 13:21:42,2.3721966310668234,2.3718962405640838,48.845874683394754,48.84466145645179, ,GARE DE LYON VAN GOGH,GARE DE LYON-DIDEROT,58 s,63 s,47 s,B3001,ITI:55,"LINESTRING (2.372196631066823 48.84587468339475, 2.370984441556135 48.84548856984591, 2.371161482545752 48.84551548211076, 2.371896240564084 48.84466145645179)"
2017-05-01 13:22:40,2.3718962405640838,2.3718962405640838,48.84466145645179,48.84466145645179,GARE DE LYON VAN GOGH,GARE DE LYON,GARE DE LYON-DIDEROT,93 s,46 s,81 s,B3001,ITI:55,"LINESTRING (2.371896240564084 48.84466145645179, 2.371896240564084 48.84466145645179)"
2017-05-01 13:22:42,2.3718962405640838,2.3738969440043345,48.84466145645179,48.84325880356185, ,GARE DE LYON,GARE DE LYON VAN GOGH,91 s,72 s,81 s,B3001,ITI:55,"LINESTRING (2.371896240564084 48.84466145645179, 2.371161482545752 48.84551548211076, 2.370984441556135 48.84548856984591, 2.372481501505332 48.84426583377471, 2.372481495402117 48.84425684625282, 2.372318020200553 48.84414904421246, 2.373896944004334 48.84325880356185)"
2017-05-01 13:23:42,2.3738969440043345,2.374604741710185,48.84325880356185,48.8428900948225, ,GARE DE LYON,GARE DE LYON VAN GOGH,31 s,0 s,19 s,B3001,ITI:55,"LINESTRING (2.373896944004334 48.84325880356185, 2.375816135836763 48.84225159361591, 2.376278962666144 48.84208067958808, 2.37637431733969 48.84213457353604, 2.376456042312959 48.84217049681524, 2.376510527958338 48.84219744148189, 2.376374419000316 48.8422693865854, 2.375925267479812 48.84252118434856, 2.374604741710185 48.8428900948225)"
